ID,Tweet,Author,Class,NumberOfTotalCharacters,NumberOfUppercaseCharacters,NumberOfLowercaseCharacters,NumberOfSpecialCharacters,NumberOfNumbers,NumberOfBlanks,NumberOfWords,AverageLengthOfWords,NumberOfPropositions,PropositionsLength,NumberOfPunctuationCharacters,NumberOfLowercaseWords,NumberOfUppercaseWords,NumberOfBigrams,NumberOfTrigrams,HapaxTokenRatio,VocabularyRichness,Flesch Kincaid Grade Level,Flesch Reading Ease formula,Dale Chall Readability,Automated Readability Index,Coleman Liau Index,Gunning Fog,SMOG(Simple Measure of Gobbledygook),Linsear Write
20307019,@TwistofBliss That would be great Kalyna. DM me.,Human,0,48,6,32,3,0,7,8,6.25,2,4,2,4,1,10,9,0.82,1,5.2,71.82,9.95,6.7,7.9,13.2,0,5
20412275,OMG remember when #gouchopants were popular? #facepalm #fashionfail,Human,0,67,3,53,4,0,7,8,8,2,4,1,7,1,11,10,0.75,1,10,37.98,13.9,17.9,20.95,13.2,0,6
20640522,"@Klacy56  Good question. I haven't heard of any arrests, but...they issued this release for a reason.",Human,0,101,3,72,8,2,16,16,6.12,2,8,7,15,1,22,21,0.91,1,3,83.02,7.85,6.2,6.47,2.12,3.1,1.67
21074492,@RussiawithoutBS @ystriya @e_styd of course he can't. But that's no reason for him to be popularised these days.,Human,0,112,4,83,8,0,17,18,7.25,2,9,4,18,0,24,23,0.8,1,4.4,79.26,8.47,7.9,9.31,8.04,0,4.5
21281949,The Innocence Mission.,Human,0,22,3,16,1,0,2,3,8,1,3,1,0,0,3,2,1,1,9.2,34.59,14.31,11.5,11.15,14.53,0,1.5
23571734,@jamespeshaw @mrdarroch @FoxMarama @metiria Reply due 15 May 2015.,Human,0,66,4,43,9,2,8,9,6.25,1,9,1,4,0,13,12,0.71,1,10.3,36.96,16.36,13.4,15.11,16.93,0,6.5
24801407,@Lko424 Happy birthday! Hope you have a great day and follow up today's great round with another stellar performance.,Human,0,117,3,89,4,3,18,19,5.83,2,9.5,3,17,0,22,21,0.91,0.92,5.8,70.29,7.43,7.9,9.94,5.91,0,4.75
25184645,@awkwordy some students from @bmchs1 put together. It's not in @deadcenter that I know of. Sorry for mix-up.,Human,0,108,3,79,8,1,17,18,6.57,3,6,5,16,1,24,23,0.76,1,5.6,65.39,7.44,5.4,5.91,6.84,8.8,3
26203719,I feel like there are worse ways to go than downing a gallon of Blue Bell. ,Human,0,75,3,55,1,0,16,16,4.86,1,16,1,13,1,16,15,1,1,3.6,97.54,6.4,3.9,3.48,6.4,0,7
26528107,Opening Day! ,Human,0,13,2,8,1,0,2,2,5,1,2,1,0,0,2,1,1,1,2.9,77.91,11.63,5.5,-1.61,0.8,0,0
27014940,But baseball takes too long. #partingshot,Human,0,41,1,33,2,0,5,6,7,2,3,1,5,0,7,6,1,1,4.5,73.85,9.2,9.8,12.05,9.07,0,3
27119540,@CarolynOler those jokesters.,Human,0,29,2,23,2,0,2,3,10,1,3,1,2,0,4,3,1,1,9.2,34.59,14.31,22.5,22.75,14.53,0,1.5
27244453,"@sledyit2 LOL...sounds like a lot, but is more like $10 bucks. ??",Human,0,65,3,39,10,2,11,12,4.8,3,4.33,7,10,1,18,17,0.79,1,2.9,94.15,11.36,7.2,5.26,4.4,0,5
27292659,Yo @MpaDuke u was freestylin on Dome?,Human,0,37,4,25,2,0,6,7,7,1,7,1,4,0,8,7,1,1,-1.2,115.13,15.26,2.9,4.07,2.8,0,2.5
27327680,RT @PFF_Steve: Paul Dawson is so instinctive he's probably already practicing with the team that's going to draft him,Human,0,117,8,86,5,0,18,19,6.56,1,19,3,17,1,22,21,0.91,1,9.5,60.65,11.23,12.6,11.72,13.92,0,12.5
27372659,@kcraftwriter @SBKSLibrary Yes. I was trying to hurry and tweet out the picture for the contest. I'm sorry. Still reading. Great book!,Human,0,134,10,95,8,0,21,22,6.8,5,4.4,6,17,2,29,28,0.67,1,5.2,77.23,7.77,8.3,9.2,4.4,0,4.5
27493957,The worst thing about maintaining personal journal is that sometimes you wonder whether they would ever be read or achieve any other purpose,Human,0,140,1,117,0,0,22,23,6.88,1,23,0,22,0,22,21,1,1,9.9,65.05,8.9,14.2,12.77,12.68,0,13.5
27570114,@shannonigans93 I'm sure you've been occupied with that awesome Big Guava mix CD but you need to get on that new @Alabama_Shakes real soon.,Human,0,139,7,101,6,2,23,24,6.67,1,24,3,21,2,28,27,0.79,1,11.5,55.58,8.77,13.3,9.87,14.6,0,15
27582887,@cnrsocial1 @socialsensing yes we are all fine. Just a little shake felt in Christchurch!,Human,0,89,2,69,4,1,13,14,8,2,7,2,12,0,17,16,0.89,1,3.7,81.29,7.37,7.6,9.87,8.51,0,3.5
27746415,@rxysurfchic Glad you enjoyed it! I'm seeing it later!,Human,0,54,2,40,4,0,8,9,7.33,2,4.5,3,8,1,12,11,0.69,1,2.7,83.83,9.12,4.9,4.77,1.8,0,1.25
27762544,Can you believe it's #Thursday already!! Where did my week go?? #prgirl #prlife #pr,Human,0,83,3,58,9,0,13,14,5.5,3,4.67,5,12,0,22,21,0.65,1,1.6,92.08,7.25,4.5,3.27,1.88,3.1,1.33
28298712,Well that took about an hour of researching which found me the simplest and fastest fix. Hold the SHIFT key while launching safari! ,Human,0,132,7,100,2,0,23,23,5.91,2,11.5,2,20,1,24,23,0.92,1,3.1,93.64,8.33,6.6,8.51,6.34,0,5.25
29552151,Dreamt that My. Saint Helens began to smoke. You could see it from the Grand canyon #premonition,Human,0,96,6,71,3,0,16,17,6.12,3,5.67,2,11,0,19,18,0.9,1,2,91.07,6.71,3.6,5.15,4.63,6.4,2.17
29770248,"RT @pattyc716: @JakeStateFarm hmmm, my State Farm agent Jose Looney is very tall for a human...I wonder?..#TuneInEarthlings",Human,0,123,13,80,11,3,16,17,6.38,1,17,8,11,2,26,25,0.93,1,8.7,62.68,12.84,16.7,15.19,11.51,0,10.5
32255772,@kevinbrolan is this the type of high-brow content we can expect from post-mavs season kevin?,Human,0,93,0,75,4,0,14,15,7.12,1,15,3,15,0,16,15,1,1,8,64.71,10.7,10.9,11.13,8.67,0,7.5
32289927,@eschaton @jhamby or at least R80 insulation for any remodel permit.,Human,0,68,1,52,3,2,10,11,6.67,1,11,1,10,1,13,12,0.86,1,9.9,43.39,12.79,8.9,10.54,15.31,0,7.5
